"INGRESA AQUI LOS PRODUCTOS VARIABLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ID","Tipo","SKU padre","sku ","Nombre","Publicado (0/1)","¿Está destacado? (0/1)","Visibilidad en el catálogo","Descripción corta","Descripción","Estado del impuesto","Clase de impuesto","¿En inventario? (0/1)","Inventario (cantidad)","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","Precio rebajado","Precio normal","Categorías","Etiquetas","Clase de envío","Imágenes https://drive.google.com/drive/folders/12ciXH4MdIO3fMbl7604xjJxEIRiX5-rG","Swatches Attributes","Nombre del atributo 1","Valor(es) del atributo talla","Atributo visible talla","Atributo global talla","Atributo por defecto talla",""
"32169","variable","","","CINTURÓN POWERLIFTING PBO","1","0","visible","¡Ya disponible nuestro CINTURÓN PBO para para que mejores más que nunca tu rendimiento en los básicos! Consigue meter más kg a la barra sintiéndote más fuerte, seguro y compacto que nunca.
\n
\n<strong>CARACTERISTICAS:</strong>
\n
\n- Materiales de alta calidad y remaches avanzados para evitar que se abra al realizar el movimiento.
\n- Cinturón semi rígido, se adapta con facilidad ofreciendo una fuerte sujección.
\n- 10mm de grosor y 10 cm de anchura para una sujeción óptima del lumbar y del core. Conseguir más fuerza en el core es una de las claves para conseguir transferir fuerza de forma eficiente y levantar más pesado.
\n-Logotipo PBO, Diseño oficial del equipo.
\n
\n&nbsp;","¡Ya disponible nuestro CINTURÓN PBO para para que mejores más que nunca tu rendimiento en los básicos! Consigue meter más kg a la barra sintiéndote más fuerte, seguro y compacto que nunca.
\n
\nEn PBO usamos materiales de la más alta calidad. Nuestro compromiso es conseguir un cinturón con buenos acabados y que sea duradero, no como otras marcas que se estropean fácilmente cuando afrontas levantamientos pesados.
\n
\n<strong>CARACTERISTICAS:</strong>
\n
\n- Materiales de alta calidad y remaches avanzados para evitar que se abra al realizar el movimiento.
\n- Cinturón semi rígido, se adapta con facilidad ofreciendo una fuerte sujección.
\n- 10mm de grosor y 10 cm de anchura para una sujeción óptima del lumbar y del core. Conseguir más fuerza en el core es una de las claves para conseguir transferir fuerza de forma eficiente y levantar más pesado.
\n-Logotipo PBO, Diseño oficial del equipo.
\n
\nHay existencias.
\n
\n&nbsp;","taxable","","0","0","","","","","","","TIENDA > Accesorios, ROPA,","","Envío Growbeats","cinturonpbo.jpg, cinturonpbo4.jpg, cinturonpbo3-1.jpg","","color","L, M, S, XL","1","1","M",""
"5.2.2004","variable","","","CAMISETA PREESCOLAR COMFAMA FUCSIA TALLA 8","1","0","visible","","","taxable","parent","1","5","","","","","","25,000","UNIFORMES COLEGIALES","","","","","FUCSIA","8","","1","",""
"5.4.2006","variable","","","CAMISETA PREESCOLAR COMFAMA MORADO TALLA 12","1","0","visible","","","taxable","parent","1","9","","","","","","25,000","UNIFORMES COLEGIALES","","","","","MORADO","12","","1","",""
"5.4","variable","","","CAMISETA PREESCOLAR COMFAMA MORADO TALLA 10","1","0","visible","","","taxable","parent","1","85","","","","","","25,000","UNIFORMES COLEGIALES","","","","","MORADO","10","","1","",""
"5.4.2001","variable","","","CAMISETA PREESCOLAR COMFAMA MORADO TALLA 2","1","0","visible","","","taxable","parent","1","8","","","","","","25,000","UNIFORMES COLEGIALES","","","","","MORADO","2","","1","",""
"5.4.2002","variable","","","CAMISETA PREESCOLAR COMFAMA MORADO TALLA 4","1","0","visible","","","taxable","parent","1","23","","","","","","25,000","UNIFORMES COLEGIALES","","","","","MORADO","4","","1","",""
"5.4.2003","variable","","","CAMISETA PREESCOLAR COMFAMA MORADO TALLA 6","1","0","visible","","","taxable","parent","1","13","","","","","","25,000","UNIFORMES COLEGIALES","","","","","MORADO","6","","1","",""
"5.4.2004","variable","","","CAMISETA PREESCOLAR COMFAMA MORADO TALLA 8","1","0","visible","","","taxable","parent","1","12","","","","","","25,000","UNIFORMES COLEGIALES","","","","","MORADO","8","","1","",""
"5.11.2020","variable","","","CHOMPA PREESCOLAR COMFAMA","1","1","visible","","Chompa en algodón perchado color gris jaspe, cremayera separable, 2 bolsilllos laterales y capucha con cordón (2 sesgos en mangas)","taxable","parent","1","0","","","","","","37,000","UNIFORMES COLEGIALES","","","","","COLOR","2,4,6,8,10,12","1","1","6",""
"5.11.2005","variable","","","CHOMPA PREESCOLAR COMFAMA AMARILLO TALLA 10","1","0","visible","","","taxable","parent","1","15","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AMARILLO","10","","1","",""
"5.11.2006","variable","","","CHOMPA PREESCOLAR COMFAMA AMARILLO TALLA 12","1","0","visible","","","taxable","parent","1","4","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AMARILLO","12","","1","",""
"5.11.2001","variable","","","CHOMPA PREESCOLAR COMFAMA AMARILLO TALLA 2","1","0","visible","","","taxable","parent","1","10","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AMARILLO","2","","1","",""
"5.11.2002","variable","","","CHOMPA PREESCOLAR COMFAMA AMARILLO TALLA 4","1","0","visible","","","taxable","parent","1","15","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AMARILLO","4","","1","",""
"5.11.2003","variable","","","CHOMPA PREESCOLAR COMFAMA AMARILLO TALLA 6","1","0","visible","","","taxable","parent","1","0","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AMARILLO","6","","1","",""
"5.11.2004","variable","","","CHOMPA PREESCOLAR COMFAMA AMARILLO TALLA 8","1","0","visible","","","taxable","parent","1","15","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AMARILLO","8","","1","",""
"5.9.2005","variable","","","CHOMPA PREESCOLAR COMFAMA AZUL TALLA 10","1","0","visible","","","taxable","parent","1","9","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AZUL","10","","1","",""
"5.9.2006","variable","","","CHOMPA PREESCOLAR COMFAMA AZUL TALLA 12","1","0","visible","","","taxable","parent","1","5","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AZUL","12","","1","",""
"5.9.2001","variable","","","CHOMPA PREESCOLAR COMFAMA AZUL TALLA 2","1","0","visible","","","taxable","parent","1","9","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AZUL","2","","1","",""
"5.9.2002","variable","","","CHOMPA PREESCOLAR COMFAMA AZUL TALLA 4","1","0","visible","","","taxable","parent","1","11","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AZUL","4","","1","",""
"5.9.2003","variable","","","CHOMPA PREESCOLAR COMFAMA AZUL TALLA 6","1","0","visible","","","taxable","parent","1","6","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AZUL","6","","1","",""
"5.9.2004","variable","","","CHOMPA PREESCOLAR COMFAMA AZUL TALLA 8","1","0","visible","","","taxable","parent","1","8","","","","","","37,000","UNIFORMES COLEGIALES","","","","","AZUL","8","","1","",""
"5.10.2005","variable","","","CHOMPA PREESCOLAR COMFAMA FUCSIA TALLA 10","1","0","visible","","","taxable","parent","1","16","","","","","","37,000","UNIFORMES COLEGIALES","","","","","FUCSIA","10","","1","",""
"5.10.2006","variable","","","CHOMPA PREESCOLAR COMFAMA FUCSIA TALLA 12","1","0","visible","","","taxable","parent","1","6","","","","","","37,000","UNIFORMES COLEGIALES","","","","","FUCSIA","12","","1","",""
"5.10.2001","variable","","","CHOMPA PREESCOLAR COMFAMA FUCSIA TALLA 2","1","0","visible","","","taxable","parent","1","6","","","","","","37,000","UNIFORMES COLEGIALES","","","","","FUCSIA","2","","1","",""
"5.10.2002","variable","","","CHOMPA PREESCOLAR COMFAMA FUCSIA TALLA 4","1","0","visible","","","taxable","parent","1","6","","","","","","37,000","UNIFORMES COLEGIALES","","","","","FUCSIA","4","","1","",""
"5.10.2003","variable","","","CHOMPA PREESCOLAR COMFAMA FUCSIA TALLA 6","1","0","visible","","","taxable","parent","1","1","","","","","","37,000","UNIFORMES COLEGIALES","","","","","FUCSIA","6","","1","",""
"5.10.2004","variable","","","CHOMPA PREESCOLAR COMFAMA FUCSIA TALLA 8","1","0","visible","","","taxable","parent","1","10","","","","","","37,000","UNIFORMES COLEGIALES","","","","","FUCSIA","8","","1","",""
"5.12.2005","variable","","","CHOMPA PREESCOLAR COMFAMA MORADO TALLA 10","1","0","visible","","","taxable","parent","1","10","","","","","","37,000","UNIFORMES COLEGIALES","","","","","MORADO","10","","1","",""
"5.12","variable","","","CHOMPA PREESCOLAR COMFAMA MORADO TALLA 12","1","0","visible","","","taxable","parent","1","0","","","","","","37,000","UNIFORMES COLEGIALES","","","","","MORADO","12","","1","",""
"5.12.2001","variable","","","CHOMPA PREESCOLAR COMFAMA MORADO TALLA 2","1","0","visible","","","taxable","parent","1","10","","","","","","37,000","UNIFORMES COLEGIALES","","","","","MORADO","2","","1","",""
"5.12.2002","variable","","","CHOMPA PREESCOLAR COMFAMA MORADO TALLA 4","1","0","visible","","","taxable","parent","1","11","","","","","","37,000","UNIFORMES COLEGIALES","","","","","MORADO","4","","1","",""
"5.12.2003","variable","","","CHOMPA PREESCOLAR COMFAMA MORADO TALLA 6","1","0","visible","","","taxable","parent","1","10","","","","","","37,000","UNIFORMES COLEGIALES","","","","","MORADO","6","","1","",""
"5.12.2004","variable","","","CHOMPA PREESCOLAR COMFAMA MORADO TALLA 8","1","0","visible","","","taxable","parent","1","13","","","","","","37,000","UNIFORMES COLEGIALES","","","","","MORADO","8","","1","",""
"6.11.2020","variable","","","FALDA BALLET COMFAMA","1","1","visible","","Falda en tejido de punto de 120 grs, color fucsia con moño en cinta brillante","taxable","parent","1","0","","","","","","15,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","COLOR","6,8,10,12,14","1","1","8",""
"6.11.2003","variable","","","FALDA BALLET COMFAMA TALLA 10","1","0","visible","","","taxable","parent","1","12","","","","","","15,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","FUCSIA","10","","1","",""
"6.11.2004","variable","","","FALDA BALLET COMFAMA TALLA 12","1","0","visible","","","taxable","parent","1","7","","","","","","15,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","FUCSIA","12","","1","",""
"6.11.2005","variable","","","FALDA BALLET COMFAMA TALLA 14","1","0","visible","","","taxable","parent","1","1","","","","","","15,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","FUCSIA","14","","1","",""
"6.11.2001","variable","","","FALDA BALLET COMFAMA TALLA 6","1","0","visible","","","taxable","parent","1","14","","","","","","15,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","FUCSIA","6","","1","",""
"6.11.2002","variable","","","FALDA BALLET COMFAMA TALLA 8","1","0","visible","","","taxable","parent","1","32","","","","","","15,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","FUCSIA","8","","1","",""
"LA004","Variable","","","LEGGINS AQUAFIT AUGUSTI","1","1","visible","","Leggins en licra de 400 grs con elongación bidireccional,que ayuda a disimularlar imperfecciones, diseño anatómico y costuras decorativas","taxable","parent","1","0","","","","","","87,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","U","1","1","U",""
"LA0041","variable","","","LEGGINS AQUAFIT AUGUSTI ROJO","1","0","visible","","","taxable","parent","1","24","","","","","","87,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","PALO DE ROSA","U","","1","",""
"LA0042","variable","","","LEGGINS AQUAFIT AUGUSTI VERDE","1","0","visible","","","taxable","parent","1","24","","","","","","87,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","VERDE","U","","1","",""
"LA002","variable","","","LEGGINS AQUAFIT BRILLANTE","1","1","visible","","Leggins en licra de 400 grs ,con elongación bidireccional,que ayuda a disimularlar imperfecciones, diseño anatómico, costuras decorativas y acabado tipo cuero","taxable","parent","1","0","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","U","1","1","U",""
"LA0021","variable","","","LEGGINS AQUAFIT BRILLANTE AZUL","1","0","visible","","","taxable","parent","1","5","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL","U","","1","",""
"LA0022","variable","","","LEGGINS AQUAFIT BRILLANTE NEGRITO","1","0","visible","","","taxable","parent","1","3","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","NEGRO","U","","1","",""
"LAL001","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR","1","1","visible","","Leggins en licra de 320 grs ,con elongación bidireccional, diseño anatómico, costuras decorativas y con estampados de moda","taxable","parent","1","0","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","U","1","1","U",""
"LAL0015","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR COBRIZO","1","0","visible","","","taxable","parent","1","9","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL","U","","1","",""
"LAL0016","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR NEGRITO","1","0","visible","","","taxable","parent","1","9","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","NEGRO","U","","1","",""
"LAL0012","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR OCRACEO","1","0","visible","","","taxable","parent","1","7","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","VERDE","U","","1","",""
"LAL0011","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR RAYO DE SOL","1","0","visible","","","taxable","parent","1","4","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AMARILLO","U","","1","",""
"LAL0013","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR VERSICOLOR","1","0","visible","","","taxable","parent","1","3","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","ROJO","U","","1","",""
"LAL0014","variable","","","LEGGINS AQUAFIT_LITE PICAFLOR VIOLICEPS","1","0","visible","","","taxable","parent","1","8","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","MORADO X NARANJA","U","","1","",""
"LAL003","variable","","","LEGGINS AQUAFIT_LITE RUFA","1","1","visible","","Leggins en licra de 320 grs ,con elongación bidireccional, diseño anatómico, costuras decorativas y con estampados de moda","taxable","parent","1","0","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","U","1","1","U",""
"LAL0035","variable","","","LEGGINS AQUAFIT_LITE RUFA COBRIZO","1","0","visible","","","taxable","parent","1","8","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL","U","","1","",""
"LAL0036","variable","","","LEGGINS AQUAFIT_LITE RUFA NEGRITO","1","0","visible","","","taxable","parent","1","9","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","NEGRO","U","","1","",""
"LAL0032","variable","","","LEGGINS AQUAFIT_LITE RUFA OCRACEO","1","0","visible","","","taxable","parent","1","8","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","VERDE","U","","1","",""
"LAL0031","variable","","","LEGGINS AQUAFIT_LITE RUFA RAYO DE SOL","1","0","visible","","","taxable","parent","1","6","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AMARILLO","U","","1","",""
"LAL0033","variable","","","LEGGINS AQUAFIT_LITE RUFA VERSICOLOR","1","0","visible","","","taxable","parent","1","8","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","ROJO","U","","1","",""
"LAL0034","variable","","","LEGGINS AQUAFIT_LITE RUFA VIOLICEPS","1","0","visible","","","taxable","parent","1","7","","","","","","48,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","MORADO X NARANJA","U","","1","",""
"LA003","variable","","","LEGGINS AQUAFIT NIGER","1","1","visible","","Leggins en licra de 320 grs ,con elongación bidireccional, diseño anatómico, costuras decorativas y con estampados de moda","taxable","parent","1","0","","","","","","87,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","U","1","1","U",""
"LA0031","variable","","","LEGGINS AQUAFIT NIGER AZUL","1","0","visible","","","taxable","parent","1","23","","","","","","87,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL","U","","1","",""
"LA0032","variable","","","LEGGINS AQUAFIT NIGER NEGRITO","1","0","visible","","","taxable","parent","1","21","","","","","","87,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","NEGRO","U","","1","",""
"LA001","variable","","","LEGGINS AQUAFIT PHILIPPII","1","1","visible","","Leggins en licra de 320 grs ,con elongación bidireccional, diseño anatómico, costuras decorativas y con estampados de moda","taxable","parent","1","0","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","U","1","1","U",""
"LA0011","variable","","","LEGGINS AQUAFIT PHILIPPII GLAUCIS","1","0","visible","","","taxable","parent","1","8","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL CLARO","U","","1","",""
"LA0012","variable","","","LEGGINS AQUAFIT PHILIPPII GUY","1","0","visible","","","taxable","parent","1","8","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL","U","","1","",""
"LA0014","variable","","","LEGGINS AQUAFIT PHILIPPII HISPIDUS","1","0","visible","","","taxable","parent","1","9","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","MORADO","U","","1","",""
"LA0016","variable","","","LEGGINS AQUAFIT PHILIPPII PETREI","1","0","visible","","","taxable","parent","1","8","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL X ALLO","U","","1","",""
"LA0013","variable","","","LEGGINS AQUAFIT PHILIPPII PREVOSTII","1","0","visible","","","taxable","parent","1","11","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","NEGRO","U","","1","",""
"LA0015","variable","","","LEGGINS AQUAFIT PHILIPPIII KOEPKE","1","0","visible","","","taxable","parent","1","11","","","","","","76,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL X NEGRO","U","","1","",""
"LA0051","variable","","","LEGGINS AQUAFIT SILFO","","","","","Leggins en licra de 400 grs con elongación bidireccional,que ayuda a disimularlar imperfecciones, diseño anatómico y costuras decorativas","","","","","","","","","","66,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","COLOR","U","1","1","U",""
"LA0051","variable","","","LEGGINS AQUAFIT SILFO GRIS","1","0","visible","","","taxable","parent","1","1","","","","","","66,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","SILFO","U","","1","",""
"6.10.2020","variable","","","LEGGINS BALLET COMFAMA","1","1","visible","","Laggins en licra poliester de 180 grs, fresco y comodo","taxable","parent","1","0","","","","","","20,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","COLOR","6,8,10,12,14","1","1","8",""
"6.10.2008","variable","","","LEGGINS BALLET COMFAMA NEGRO TALLA 10","1","0","visible","","","taxable","parent","1","2","","","","","","20,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","NEGRO","10","","1","",""
"6.10.09","variable","","","LEGGINS BALLET COMFAMA NEGRO TALLA 12","1","0","visible","","","taxable","parent","1","4","","","","","","20,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","NEGRO","12","","1","",""
"6.10.2010","variable","","","LEGGINS BALLET COMFAMA NEGRO TALLA 14","1","0","visible","","","taxable","parent","1","7","","","","","","20,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","NEGRO","14","","1","",""
"6.10.2006","variable","","","LEGGINS BALLET COMFAMA NEGRO TALLA 6","1","0","visible","","","taxable","parent","1","11","","","","","","20,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","NEGRO","6","","1","",""
"6.10.2007","variable","","","LEGGINS BALLET COMFAMA NEGRO TALLA 8","1","0","visible","","","taxable","parent","1","6","","","","","","20,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","NEGRO","8","","1","",""
"6.10.2003","variable","","","LEGGINS BALLET COMFAMA ROSADO TALLA 10","1","0","visible","","","taxable","parent","1","3","","","","","","18,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","ROSADO","10","","1","",""
"6.10.2004","variable","","","LEGGINS BALLET COMFAMA ROSADO TALLA 12","1","0","visible","","","taxable","parent","1","0","","","","","","18,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","ROSADO","12","","1","",""
"6.10.05","variable","","","LEGGINS BALLET COMFAMA ROSADO TALLA 14","1","0","visible","","","taxable","parent","1","9","","","","","","18,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","ROSADO","14","","1","",""
"6.10.2011","variable","","","LEGGINS BALLET COMFAMA ROSADO TALLA 16","1","0","visible","","","taxable","parent","1","1","","","","","","18,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","ROSADO","16","","1","",""
"6.10.2001","variable","","","LEGGINS BALLET COMFAMA ROSADO TALLA 6","1","0","visible","","","taxable","parent","1","21","","","","","","18,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","ROSADO","6","","1","",""
"6.10.2002","variable","","","LEGGINS BALLET COMFAMA ROSADO TALLA 8","1","0","visible","","","taxable","parent","1","38","","","","","","18,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","ROSADO","8","","1","",""
"6.13","SIMPLE","","","MOÑOS BALLET","1","0","visible","","","taxable","parent","1","35","","","","","","3,000","UNIFORMES DEPORTIVOS COMFAMA","","","","","MOÑOS","","","","",""
"SHA002","Variable","","","SHORT AQUAFIT","1","1","visible","","Short en licra de 400 grs con elongación bidireccional,que ayuda a disimularlar imperfecciones, diseño anatómico y costuras decorativas","taxable","parent","1","0","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","COLOR","S","1","1","S",""
"SHA0022","variable","","","SHORT AQUAFIT BRILLANTE AZUL","1","0","visible","","","taxable","parent","1","5","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","AZUL","S","","1","",""
"SHA0021","variable","","","SHORT AQUAFIT BRILLANTE NEGRITO","1","0","visible","","","taxable","parent","1","3","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","NEGRO","S","","1","",""
"SHA0011","variable","","","SHORT AQUAFIT SILFO GRIS","1","0","visible","","","taxable","parent","1","5","","","","","","56,000","ROPA FIT DAMA COLECCION COLIBRI","","","","","GRIS","S","","1","",""
"5.7.2020","variable","","","SUDADERA PREESCOLAR COMFAMA","1","1","visible","","Sudadera en algodón perchado color gris jaspe, elastico y cordón. Con 2 sesgos laterales","taxable","parent","1","0","","","","","","29,000","UNIFORMES COLEGIALES","","","","","COLOR","2,4,6,8,10,12","1","1","6",""
"5.7.2005","variable","","","SUDADERA PREESCOLAR COMFAMA AMARILLO TALLA 10","1","0","visible","","","taxable","parent","1","14","","","","","","29,000","UNIFORMES COLEGIALES","","","","","AMARILLO","10","","1","",""
"5.7.2006","variable","","","SUDADERA PREESCOLAR COMFAMA AMARILLO TALLA 12","1","0","visible","","","taxable","parent","1","2","","","","","","29,000","UNIFORMES COLEGIALES","","","","","AMARILLO","12","","1","",""
"5.7.2001","variable","","","SUDADERA PREESCOLAR COMFAMA AMARILLO TALLA 2","1","0","visible","","","taxable","parent","1","10","","","","","","29,000","UNIFORMES COLEGIALES","","","","","AMARILLO","2","","1","",""
"5.7.2002","variable","","","SUDADERA PREESCOLAR COMFAMA AMARILLO TALLA 4","1","0","visible","","","taxable","parent","1","30","","","","","","29,000","UNIFORMES COLEGIALES","","","","","AMARILLO","4","","1","",""
